X;Y;Z;Target
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.42;-0.27;-9.31;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.23;-0.34;-9.08;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.54;1
0.15;-0.38;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.19;-0.34;-9.23;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.31;-0.31;-9.69;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.15;-0.31;-9.23;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.11;-0.31;-9.42;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.58;1
0.19;-0.34;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.23;-0.31;-9.27;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.19;-0.27;-9.23;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.27;-0.27;-9.38;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.34;-0.42;-9.54;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.27;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.11;-0.38;-9.50;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.31;-0.42;-9.46;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.15;-0.27;-9.35;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.11;-0.42;-9.38;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.19;-0.23;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.46;1
0.42;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.23;-0.31;-9.54;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.38;-0.34;-9.46;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.11;-0.38;-9.23;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.46;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.08;-0.27;-9.50;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.23;-0.38;-9.15;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.38;1
0.31;-0.34;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.23;-0.31;-9.31;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.27;-0.34;-9.23;1
0.11;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.00;-0.31;-9.58;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.08;-0.38;-9.23;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.19;-0.27;-9.38;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.27;-0.31;-9.23;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.38;-0.27;-9.35;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
0.08;-0.31;-9.27;1
